date,invested,portfolio_value,benchmark_value
2015-10-15,107.88999099556654,107.88999099556654,107.88999099556654
2015-10-16,107.88999099556654,108.23998224083635,108.38297309380833
2015-10-19,107.88999099556654,109.46999224546819,108.41391210536456
2015-10-20,107.88999099556654,109.83999498201331,108.26266481718044
2015-10-21,107.88999099556654,110.08998752948006,107.64593366616117
2015-10-22,107.88999099556654,113.24999002928337,109.43855006629346
2015-10-23,107.88999099556654,113.08999043398207,110.64622752755264
2015-10-26,107.88999099556654,113.51998567394351,110.43540306046988
2015-10-27,107.88999099556654,113.76998661549216,110.15353216065662
2015-10-28,107.88999099556654,114.33998674764345,111.46806250563364
2015-10-29,107.88999099556654,115.03997763226502,111.43082239791732
2015-10-30,107.88999099556654,113.73998616674305,110.89487255849075
2015-11-02,211.19998085776797,218.34996749446645,215.52167962298813
2015-11-03,211.19998085776797,218.12000714338978,216.11312220514117
2015-11-04,211.19998085776797,217.18999886838156,215.42374612311352
2015-11-05,211.19998085776797,221.75998674400893,215.22402410835076
2015-11-06,211.19998085776797,222.76998064367768,215.1739626416065
2015-11-09,211.19998085776797,222.90996671731267,213.10474639477064
2015-11-10,211.19998085776797,225.3299849498602,213.4821617670757
2015-11-11,211.19998085776797,225.52997205517204,212.7933364014786
2015-11-12,211.19998085776797,224.2299762764847,209.85428370081223
2015-11-13,211.19998085776797,218.7899636001717,207.50502143300736
2015-11-16,859.0099631575727,867.7699706651479,858.443865552492
2015-11-17,859.0099631575727,864.5599952854742,857.4751898396173
2015-11-18,859.0099631575727,889.4499380233663,871.4041936874081
2015-11-19,859.0099631575727,886.2399707142685,870.4624514840409
2015-11-20,859.0099631575727,895.8399963840673,873.91328001823
2015-11-23,859.0099631575727,905.3599883484702,872.8706466400209
2015-11-24,859.0099631575727,894.8399520212824,873.9626033760882
2015-11-25,859.0099631575727,899.419918882797,873.9402135277373
2015-11-26,859.0099631575727,899.419918882797,873.9402135277373
2015-11-27,859.0099631575727,893.8399384945319,874.6509954127877
2015-11-30,859.0099631575727,882.5100229094012,870.6373550671228
2015-12-01,859.0099631575727,901.5699490839754,880.007752944967
2015-12-02,859.0099631575727,896.0799561134052,870.5341646902499
2015-12-03,859.0099631575727,882.5199616791476,858.0582017832237
2015-12-04,859.0099631575727,893.0599843800757,875.6757278608973
2015-12-07,859.0099631575727,889.2699997313322,869.6216004555158
2015-12-08,859.0099631575727,896.3000032162038,864.0540279942445
2015-12-09,859.0099631575727,880.8599356294487,857.4213775635079
2015-12-10,859.0099631575727,879.2099914705248,859.4461534093452
2015-12-11,859.0099631575727,851.0025453349244,842.8892711257913
2015-12-14,971.4900004445116,985.1009862454877,959.4345165753788
2015-12-15,971.4900004445116,986.5589583928534,969.6303306838313
2015-12-16,971.4900004445116,1008.4194425010475,983.793677915039
